exercise, 17/09/2024,18/09/2024,20/09/2024,21/09/2024,24/09/2024,25/09/2024,10/10/2024,29/10/2024,31/10/2024,02/11/2024,03/11/2024,05/11/2024,06/11/2024,09/11/2024,11/11/2024,13/11/2024,16/11/2024,18/11/2024,20/11/2024,23/11/2024,02/12/2024,03/12/2024,05/12/2024,07/12/2024,09/12/2024,10/12/2024,12/12/2024,14/12/2024,16/12/2024,18/12/2024,21/12/2024,02/01/2025,03/01/2025,05/01/2025,07/01/2025,10/01/2024,12/01/2025,14/01/2025,16/01/2025,17/01/2025,19/01/2025,21/01/2025,23/01/2025,26/01/2025,28/01/2025,30/01/2025,01/02/2025,03/02/2025,04/02/2025,06/02/2025,07/02/2025,09/02/2025,10/02/2025,11/02/2025,20/02/2025,24/02/2025,27/02/2025,28/02/2025,07/03/2025,03/03/2025,18/03/2025,23/03/2025,24/03/2025,25/03/2025,27/03/2025,31/03/2025,01/04/2025,03/04/2025,05/04/2025,07/04/2025,09/04/2025,11/04/2025,12/04/2025,15/04/2025,17/04/2025,22/04/2025,30/04/2025,02/05/2025,04/05/2025,05/05/2025,07/05/2025,09/05/2025,10/05/2025,12/05/2025,14/02/2025,16/05/2025
Larson press,"1x10@40, 1x7@57.5, 2x8@57.5",,,,"1x10@40, 3x8@57.5",,,"1x7@40, 3x6@60",,,,"1x10@50, 1x8@60, 2x10@60",,,,"1x10@40, 3x8@60",,,,,5x6@60,,,,"1x10@40, 5x6@70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1x10@40, 1x10@60, 2x10@70",,,,"2x10@70, 1x17@70",,,"1x10@60, 3x7@80","1x10@40, 1x10@60, 2x10@80, 1x11@80",,"1x10@60, 1x10@70, 2x10@80, 1x12@80","1x10@60, 1x10@70, 2x5@80, 3x7@90, 1x5@80","1x10@50, 1x8@70, 1x10@70, 1x8@80, 4x5@90, 1x14@60",,"1x10@40, 1x10@60, 1x5@80, 3x6@90, 1x4@90","1x10@60, 4x5@80, 3x8@90, ",3x10@60,"1x10@40, 1x10@60, 1x7@80, 3x8@90, 1x1@100","1x10@60, 1x10@70, 1x10@80, 2x3@100",,"1x10@60, 1x10@80, 1x1@100, 2x8@92.5, 1x6@92.5",,"1x10@40, 1x10@60, 1x10@70, 1x3@90, 1x2@100, 3x8@70",,,"2x10@70, 1x13@70","1x10@60, 1x5@80, 1x1@100, 3x5@60",,,"1x10@50, 1x11@60, 4x10@75",,,
Incline DB press [seat 4],"1x10@20, 3x10@22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x8@20,,,,,,,
Tricep pushdown,,,"3x10@23.8, 1x17@23.8",,,4x10@28.4,3x8@30.6,,3x10@25,3x10@26.1,3x10@19.3,,,,,,,,,,,3x10@28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1x10@45, 1x7@54, 2x10@50, 1x7@60",,,,,,,,"1x10@28.4, 1x9@28.4, 1x9@26.1, 1x15@23.8","1x15@26.1, 2x10@28.4, 1x11@28.4",,,,"1x10@19.1, 1x10@23.8, 1x10@26.1, 1x10@28.4","1x13@26.1, 1x10@28.4, 1x7@28.4",,,,,"1x10@26.1, 1x10@28.4, 1x10@30.6",,,,"1x10@19.3, 2x10@28.4, 1x14@28.4","1x10@19.3, 2x10@28.4, 1x14@28.4",,,"1x10@28.4, 3x13@30.6, 1x10@30.6","1x10@28.4, 3x10@30.6",
Overhead tricep extensions [8],,,,"2x12@19.3, 2x10@19.3",,,,,,,,,,,"1x10@14.7, 1x10@17, ",,,,,,,,,,,,,,,,,3x10@19.3,,3x10@19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x9@19.3,,,,,"1x10@19.1, 2x10@21.6, 1x7@23.8",,,,"1x14@19.3, 1x10@19.3, 1x15@17",,,,,"1x10@19.3, 1x7@23.8, 1x7@21.6",,,,"2x12@19.3, 1x17@19.3, ","1x10@23.8, 1x10@23.8, 1x7@21.6, ",,
Smith Incline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1x8@41.3, 3x8@51.3",,,,,,,,,"1x10@41.3, 3x8@51.3",,,"1x10@41.3, 2x10@51.3, 1x6@51.3",,,,3x10@51.3,,,,,"1x10@41.3, 1x10@46.3, 1x6@46.3",,,,,,,,"1x10@41.3, 1x10@46.3","1x7@51.3, 2x10@51.3",,,,,,"2x10@51.3, 1x8@51.3",,,,,,,,,3x5@51.3,,,,"1x7@51.3, 2x8@41.3, 1x7@41.3, 1x6@41.3",,,,"1x10@31.3, 1x10@51.3, 1x7@61.3, 1x7@56.3, 1x7@51.3",
Assisted Dips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x5@14,,,,3x7@14,,,,,3x7@9,,,3x10@9,,,,3x10@9,,,,,"1x10@9, 2x10@4.5",,,,"1x10@4.5, 1x9@4.5, 1x7@4.5",,,,,,,,,,,,,,,,,,,,,,,,"1x10@1, 2x10@10, 1x7@10",,,,,
Weighted dips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x10@1,,,"2x10@1, 1x8@1, 1x7@1","1x5@10, 3x12@1",,"2x13@1, 1x11@1",,3x5@1,"1x10@1, 3x7@10",,,"1x7@1, 2x8@10, 1x7@10",,,3x5@1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squat - Tempo,"1x5@115, 2x3@115",,,,3x4@115,,,,,,,3x3@122.5,,,,3x4@122.5,,,,,3x2@125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squat - Paused,,,3x3@120,,,,,,,3x2@127.5,,,,,,,,3x4@130,,,,,3x2@130,,3x2@127.5,,3x2@135,,,,,,,,"1x7@60, 1x5@100, 1x3@120, 1x3@125, 1x3@130",,,,,"1x3@130, 1x3@135, 1x3@140",,,,,,,,,,,,"1x3@140, 1x3@150, 3x3@160",,,,"1x3@140, 3x3@150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDL,,2x8@85,,,,3x8@80,,,,,,,2x10@80,,,,3x8@80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB RDL,,,,,,,,,,,,,,,,,,,,,,3x10@50,,,,,,,,,,,,,,,"1x7@50, 1x10@50, 1x7@50",,,"2x12@50, 1x8@50",,3x12@50,,,"2x12@50, 1x13@50",,,,"2x15@50, 1x8@50",,,,,"2x10@50, 1x8@50",,3x10@50,,3x10@50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pause deadlifts,,,,2x3@132.5,,,,,,,3x3@135,,,,2x3@135,,,,2x4@135,,,,,,,,,2x2@142.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted back extensions,,,,,,,,,3x7@70,,,,3x8@70,,,,,,,,,,,,,,,,,,,,,,,,,,,3x5@70,,,,,,,,,,,,"1x9@70, 1x10@75, 1x7@80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB bulgarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x10@20,,,,3x10@20,,,,,2x10@20,,,,,,,3x10@16,,,,,3x10@20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ab raises ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1x1@10, 1x1@16",,,,,3x12@1,,,,,3x15@1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single leg cable abductors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x15@3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat pulldown,,,,,,3x8@52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1x10@52, 1x7@59, 1x10@52",,,,,,,,,,,,,,,,3x10@39,,,,,,"2x10@45, 1x10@39, 1x8@48",,,,,,,,,3x9@52,,,,"2x10@52, "
Assisted Pull ups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seated cable row,,,,,,,,,"1x10@32, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x10@59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single arm close rows,,3x10@45,,,,3x10@52,,,3x10@52,,,,3x10@45,,,,,,,,,,,,,,,,,,,,,3x10@45,,,,,,,,,,,,,,,,,,,,,,,,,,"2x10@45, ",,,,,,,,,,,,,,,"1x10@45, 3x10@52",,,4x10@52,,,,"1x10@52, 2x12@52, 1x10@52",,,,
Diverging rows,,3x10@45,,,,3x10@52,,,,,,,,,,,,,,,,,,,,,,,,,,,,3x10@32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
